ID,Location - Street Name1,From - Street Name2,To - Street Name3,Road Classification,Status,Date Data Requested,Date Data Received,Street Operation,Volume (vpd),Posted Speed Limit (km/h),Average Speed (km/h),85th Percentile Speed (km/h),Staff Recommended2,Plan/Drawing Number,Estimated Cost,Comments,Speed Humps,Laneway Speed Bump,Ranking
A-040,Thimbleberry Ave,Fortieth St,Forty-First St,Highway,Active,2025-02-23,2025-02-25,Two-way,8000,70,70,81,No action,PN-4040,0,,0,0,1
A-041,Marionberry St,Forty-First Ave,Forty-Second Ave,Residential,Active,2025-02-24,2025-02-26,Two-way,1350,25,26,32,Install bumps,PN-4141,17000,Quiet street,0,1,6
A-042,Olallieberry Ave,Forty-Second St,Forty-Third St,Collector,Active,2025-02-25,2025-02-27,One-way,2700,40,40,49,Monitor,PN-4242,0,,0,0,4
A-043,Youngberry St,Forty-Third Ave,Forty-Fourth Ave,Arterial,Active,2025-02-26,2025-02-28,Two-way,4200,55,52,65,Traffic calming,PN-4343,49000,Medium volume,0,0,3
A-044,Boysenberry Ave,Forty-Fourth St,Forty-Fifth St,Residential,Completed,2025-02-27,2025-03-01,One-way,1400,30,31,38,Install humps,PN-4444,22000,Residential,1,0,5
A-045,Marionberry St,Forty-Fifth Ave,Forty-Sixth Ave,Collector,Active,2025-02-28,2025-03-02,Two-way,3000,45,45,54,Monitor,PN-4545,0,,0,0,4
A-046,Thornless Ave,Forty-Sixth St,Forty-Seventh St,Arterial,Active,2025-03-01,2025-03-03,Two-way,4600,60,58,70,Signal optimization,PN-4646,62000,High volume,0,0,2
A-047,Thorny St,Forty-Seventh Ave,Forty-Eighth Ave,Residential,Pending,2025-03-02,2025-03-04,One-way,1550,35,35,42,Install bumps,PN-4747,20000,School area,0,2,5
A-048,Smooth Ave,Forty-Eighth St,Forty-Ninth St,Highway,Active,2025-03-03,2025-03-05,Two-way,8200,70,71,82,No action,PN-4848,0,,0,0,1
A-049,Rough St,Forty-Ninth Ave,Fiftieth Ave,Residential,Active,2025-03-04,2025-03-06,Two-way,1450,25,27,33,Install humps,PN-4949,18000,Quiet area,1,0,6
A-050,Flat Ave,Fiftieth St,Fifty-First St,Collector,Active,2025-03-05,2025-03-07,One-way,2800,40,41,50,Monitor,PN-5050,0,,0,0,4
